record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00049,Effects of Exercise on Changes in Cardiovascular Biomarkers in Patients with Breast Cancer During Anthracycline-based Chemotherapy,2023.0,Web of Science,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00050,Exercise to Prevent Anthracycline-Based Cardiotoxicity (EXACT): A Feasibility Study,2021.0,Web of Science,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00055,THE EFFECT OF A COMPREHENSIVE CARDIOVASCULAR RISK REDUCTION PROGRAM ON HEALTH-RELATED QUALITY OF LIFE AND FITNESS AMONG WOMEN WITH BREAST CANCER RECEIVING POTENTIALLY CARDIOTOXIC CHEMOTHERAPY,2018.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00059,Cardiac Toxicity from Breast Cancer Treatment: Can We Avoid This?,2018.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00060,"Effects of Aerobic Exercise on Cardiorespiratory Fitness, Cardiovascular Risk Factors, and Patient-Reported Outcomes in Long-Term Breast Cancer Survivors: Protocol for a Randomized Controlled Trial",2023.0,Web of Science,DUDA,TA5,No se mencionan endpoints cardiacos/biomarcadores en T/A,SÍ
R00061,Modulation of cardiovascular toxicity in Hodgkin lymphoma: potential role and mechanisms of aerobic training.,2015.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00063,Physical Activity Impacts Cardiac Tissue Mitochondrial Respiration During Anthracycline Chemotherapy,2024.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00064,"Exercise Therapy in the Management of Solid Tumors (vol 11, pg 45, 2010)",2010.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00065,Exercise training does not affect anthracycline antitumor efficacy while attenuating cardiac dysfunction,2015.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00067,Attenuating Treatment-Related Cardiotoxicity in Women Recently Diagnosed With Breast Cancer via a Tailored Therapeutic Exercise Program: Protocol of the ATOPE Trial,2021.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00068,Cardioprotective Strategies to Prevent Cancer Treatment-Related Cardiovascular Toxicity: a Review,2020.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00069,Exercise Therapy in the Management of Solid Tumors,2010.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00073,"The effects of exercise on cardiovascular outcomes before, during, and after treatment for breast cancer",2014.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00074,Cardio-Oncology Rehabilitation-Present and Future Perspectives,2022.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
